,,,,,,
SL No,Date,Work Summary,Hours Worked,Reference Link,Learning /Outcomes,Skils Used
21,25/02/2026,"The Communication chapter in the Soft Skills class focuses on developing effective verbal, non-verbal, and written communication skills essential for academic, professional, and personal success. The session begins with an introduction to the concept of communication, its meaning, and its importance in day-to-day interactions and workplace environments. Students are introduced to the communication process, including the sender, message, medium, receiver, and feedback, helping them understand how information flows between individuals. Special emphasis is given to the role of clarity and correctness in message delivery to avoid misunderstandings.

Verbal communication skills are discussed in detail, covering aspects such as tone, pronunciation, clarity of speech, and appropriate language usage. Non-verbal communication elements like body language, facial expressions, gestures, eye contact, and posture are explained with real-life examples to show how they reinforce or sometimes contradict spoken words. The chapter also highlights listening as a critical communication skill, emphasizing active listening, empathy, and the importance of responding appropriately.

Written communication is introduced with a focus on emails, messages, and basic professional documentation, stressing structure, simplicity, and correctness. Barriers to effective communication such as language differences, lack of confidence, emotional interference, and poor listening habits are identified and discussed along with methods to overcome them. Through interactive activities, role plays, and discussions, students gain confidence and practical exposure, enabling them to communicate more effectively in interviews, presentations, teamwork, and everyday professional situations.",8 Hours,,"• Students develop the ability to communicate clearly, confidently, and professionally using effective verbal, non-verbal, and listening skills",SQL
22,26/02/2026,"In this session, we explored Single Row Functions (SRF) in MySQL with a focus on character manipulation and number functions, which are heavily used in real-time database applications. We began with character functions like REPLACE(), which helps substitute specific characters or words in a string—commonly used in data cleansing and standardization. TRIM() was explained to remove unwanted spaces from data inputs, improving accuracy during comparisons and validations. INITCAP() / INIT() concept was discussed to format names into a readable form, highlighting how presentation-level transformations enhance data quality (implemented using MySQL logic since native support is not available).

Next, LOCATE() was covered to identify the position of a substring within a string, which is crucial in validations and pattern checks. LEFT() and RIGHT() functions were demonstrated to extract fixed portions of data, such as country codes, initials, or last digits of identifiers. REVERSE() was introduced as a logical and interview-oriented function, useful in palindrome checks and string manipulation problems.

The session then transitioned into Number SRFs, starting with MOD(), widely used for even-odd checks and cyclic conditions. SQRT() and POW() were explained with mathematical and analytical use cases, especially in calculations and performance metrics. Finally, ABS() was discussed to normalize negative values, which is essential in financial, statistical, and reporting scenarios. Overall, the session bridged theory with practical SQL queries, preparing learners for interviews and real-time database handling.",8 Hours,,"Gained hands-on knowledge of MySQL Single Row Functions by applying character functions for data cleaning and formatting, and number functions for mathematical and logical operations in real-time and interview-oriented scenarios.",SQL
23,27/02/2026,"In this session, Single Row Functions (SRF) related to numeric operations and date-time handling in MySQL were discussed with practical query demonstrations. Under Number SRF, functions such as ROUND(), TRUNCATE(), FLOOR(), CEIL()/CEILING(), SIGN(), and RAND() were explained in detail. ROUND() is used to round a number to a specified number of decimal places (e.g., SELECT ROUND(1234.567,2);), whereas TRUNCATE() removes decimal values without rounding (e.g., SELECT TRUNCATE(1234.567,2);). FLOOR() returns the greatest integer less than or equal to a number (SELECT FLOOR(12.9);), while CEIL() returns the smallest integer greater than or equal to a number (SELECT CEIL(12.1);). The SIGN() function identifies whether a number is positive, negative, or zero (SELECT SIGN(-25);), and RAND() generates random numbers between 0 and 1 (SELECT RAND();). In the Date and Time SRF section, functions such as CURDATE(), CURTIME(), and NOW() were used to retrieve the current system date and time. EXTRACT() was demonstrated to fetch specific parts of a date (e.g., year or month), and LAST_DAY() was used to find the last date of a given month. Date arithmetic was performed using DATE_ADD() and DATE_SUB() to add or subtract intervals from a date. Furthermore, DATEDIFF() was used to calculate the number of days between two dates, and TIMESTAMPDIFF() was applied to find differences in specific units like years or months. These functions are essential in real-time scenarios such as attendance systems, payroll processing, reporting, billing systems, and data analysis tasks where accurate numeric and date computations are required.",8 Hours,,"• Use numeric SRF for rounding, truncation, sign checking, and random values
• Apply date-time SRF for current date retrieval and calculations
• Distinguish between ROUND vs TRUNCATE and FLOOR vs CEIL
• Perform date addition, subtraction, and difference calculations",SQL
24,28/02/2026,"Single Row Functions (SRF) in MySQL are built-in functions that process each row individually and return one output per row. During the training sessions, I explained SRFs in a structured and practical way by clearly defining the types of functions and their real-time applications.

Single Row Functions are mainly classified into Character Functions, Numeric Functions, Date Functions, and Conversion Functions.

Under Character Functions, students learned UPPER(), LOWER(), SUBSTRING(), CHAR_LENGTH(), CONCAT(), CONCAT_WS(), REPLACE(), TRIM(), INSTR(), LOCATE(), LEFT(), RIGHT(), LPAD(), RPAD(), and REVERSE(). These functions help in formatting, searching, extracting, and transforming string data effectively.

In Numeric Functions, concepts such as ROUND(), TRUNCATE(), CEIL(), FLOOR(), MOD(), ABS(), POWER(), SQRT(), SIGN(), and RAND() were covered using real-time scenarios like salary calculation, marks analysis, and financial rounding operations.

Under Date Functions, students explored CURDATE(), CURTIME(), NOW(), EXTRACT(), LAST_DAY(), DATE_ADD(), DATE_SUB(), DATEDIFF(), and TIMESTAMPDIFF() with practical examples such as attendance tracking, age calculation, and project duration analysis.

Additionally, Conversion Functions were introduced to explain data type transformations for better query execution and reporting.

The sessions focused on interview-oriented queries, tricky edge cases, and logical thinking to enhance SQL problem-solving ability.",8 Hours,,"Students will be able to apply Single Row Functions effectively to manipulate data, perform calculations, handle NULL values, and solve real-time SQL interview problems with confidence.",SQL
25,02/03/2026,"In this session, I completed the core SQL function concepts including General Single Row Functions (SRF), Conversion SRF, and Multi Row Functions (MRF) in MySQL.

Under General SRF, I covered character functions like UPPER(), LOWER(), SUBSTRING(), LENGTH(), REPLACE(), TRIM(), INSTR(), and REVERSE(), which manipulate and analyze string data efficiently. I also explained number functions such as MOD(), SQRT(), POWER(), ABS(), ROUND(), TRUNCATE(), CEIL(), FLOOR(), SIGN(), and RAND() that are widely used in calculations and data transformations. Additionally, date functions like CURDATE(), CURTIME(), NOW(), DATEDIFF(), DATE_ADD(), and LAST_DAY() were demonstrated with real-time examples.

In Conversion SRF, I explained CAST(), CONVERT(), and implicit vs explicit conversion, highlighting how datatype transformations are handled in MySQL to ensure accurate comparisons and calculations.

Finally, I introduced Multi Row Functions (Aggregate Functions) such as COUNT(), SUM(), AVG(), MIN(), and MAX(), explaining how they operate on groups of rows and how they are used with GROUP BY and HAVING clauses for data analysis and reporting.

Overall, the session emphasized practical query writing, interview-oriented differences, and real-time examples to strengthen SQL fundamentals.",8 Hours,,"Students gained strong practical understanding of SRF, datatype conversion, and aggregate functions to write efficient, interview-ready SQL queries for real-time data analysis.",SQL
26,03/03/2026,"The GROUP BY clause in MySQL is used to arrange identical data into groups and is mainly combined with aggregate functions to perform calculations on grouped records. It plays a critical role in data analysis and reporting. During SQL training sessions, I explained GROUP BY with real-time scenarios such as calculating total salary department-wise, counting employees in each department, finding average marks subject-wise, and identifying maximum or minimum values within grouped categories.

Technically, GROUP BY is executed after the WHERE clause and before the HAVING clause in the SQL execution order. It groups rows that have the same values in specified columns into summary rows. Commonly used aggregate functions with GROUP BY include COUNT(), SUM(), AVG(), MIN(), and MAX().

I trained students on the difference between WHERE and HAVING, emphasizing that WHERE filters rows before grouping, whereas HAVING filters groups after aggregation. Students were also guided on common interview mistakes, such as selecting non-grouped columns without aggregate functions, which results in errors (especially in strict SQL mode).

Practical examples included:

Total salary department-wise

Number of students in each branch

Maximum salary in each department

Departments having more than 5 employees (using HAVING)

Additionally, performance considerations were discussed, such as indexing grouped columns for better optimization. I ensured students understood execution flow and logical query processing to avoid conceptual confusion.

Through real-time datasets and structured exercises, students gained clarity on how GROUP BY supports business intelligence, reporting systems, dashboards, and data summarization.",8 Hours,,"Students will be able to use the GROUP BY clause effectively with aggregate functions to summarize, analyze, and filter grouped data in real-time SQL scenarios.",SQL
27,05/03/2026,"During this session, students explored important SQL clauses used to organize, filter, and control the result set returned by queries. The session began with the ORDER BY clause, which is used to sort the records retrieved from a table. Students learned how to arrange data in ascending (ASC) or descending (DESC) order based on one or multiple columns. Practical examples were demonstrated to show how sorting improves data readability and analysis, especially when working with employee salary lists, student marks, or product prices.

The training then introduced the HAVING clause, which is mainly used with the GROUP BY clause to filter grouped data. Unlike the WHERE clause that filters rows before grouping, the HAVING clause filters aggregated results after grouping. Students practiced queries such as finding departments with total salaries greater than a specific value or identifying groups that satisfy certain aggregate conditions like COUNT(), SUM(), or AVG().

Next, the session covered the LIMIT clause, which restricts the number of rows returned in the result set. This clause is particularly useful when working with large datasets where only a few records are needed, such as displaying the top 5 highest salaries or the first 10 records of a table. Students also learned how LIMIT helps improve performance and supports efficient data retrieval.

Finally, the OFFSET clause was explained in combination with LIMIT. OFFSET is used to skip a specific number of rows before starting to return results. This concept is commonly applied in pagination, where data is displayed in multiple pages in applications or websites. Practical examples demonstrated how LIMIT and OFFSET together help retrieve records page by page.

Through hands-on SQL queries and real-time examples, students gained a clear understanding of how these clauses help in sorting data, filtering aggregated results, and controlling the number of records returned from a database.",8 Hours,,"Students are able to sort query results using ORDER BY, filter grouped data using HAVING, and control result sets using LIMIT and OFFSET for efficient data retrieval.",SQL
28,06/03/2026,"In SQL, writing multiple queries means executing more than one query sequentially to retrieve or analyze data from a database. Each query runs independently and produces its own result set. This approach is commonly used when the output of one query helps the developer understand or manually use the result for another query. Multiple queries are useful during data analysis, debugging, and understanding relationships between tables before implementing more advanced techniques such as subqueries.

However, in many real-time database scenarios, the result of one query needs to be directly used inside another query. To solve this problem, SQL provides the concept of a Subquery. A subquery is a query written inside another query. The inner query is called the Inner Query, and the outer query is called the Outer Query. The inner query executes first and its result is passed as input to the outer query.",8 Hours,,Students will be able to understand the concept of multiple queries and implement subqueries to retrieve data dynamically within a SQL query.,SQL
29,07/03/2026,"In SQL, clauses such as GROUP BY, ORDER BY, LIMIT, and OFFSET are essential for organizing, filtering, and controlling the output of query results. The GROUP BY clause is used to group rows that have the same values in specified columns. It is commonly used with aggregate functions such as COUNT(), SUM(), AVG(), MAX(), and MIN() to perform calculations on each group of data. For example, grouping employees by department allows us to calculate the total or average salary in each department. One important rule while using GROUP BY is that every column in the SELECT statement must either be part of the GROUP BY clause or used inside an aggregate function.

The ORDER BY clause is used to sort the result set based on one or more columns in either ascending (ASC) or descending (DESC) order. It helps in presenting data in a meaningful and readable format. ORDER BY is usually executed after GROUP BY and HAVING clauses. A tricky concept students often face is that sorting can be done using column names, column positions, or even expressions.

The LIMIT clause is used to restrict the number of rows returned by a query, which is very useful when working with large datasets. The OFFSET clause is used along with LIMIT to skip a specific number of rows before starting to return rows. These clauses are commonly used in pagination systems such as displaying results page by page in web applications. Tricky questions often involve combining GROUP BY with ORDER BY and LIMIT to retrieve top results, such as finding the top 3 departments with the highest average salary.",8 Hours,,"Students will learn how to group, sort, and limit SQL query results effectively while handling tricky query scenarios using GROUP BY, ORDER BY, LIMIT, and OFFSET.",SQL
30,09/03/2026,"Subqueries play an important role in SQL when the required data depends on the result of another query. In Case-2 of Subquery, the data to be selected and the condition to be applied are present in different tables. In such situations, the inner query is written to fetch the required value from another table, and the outer query uses that result to filter or retrieve the required records. The inner query executes first and produces an output, which is then passed as input to the outer query. This approach helps in solving complex data retrieval problems where direct conditions cannot be applied within a single table.

A Scalar Subquery is a type of subquery that returns exactly one value (one row and one column). Because it produces a single value, it can be used in places where a single value expression is expected, such as in the SELECT clause, WHERE clause, or even in expressions and comparisons. Scalar subqueries are commonly used to retrieve calculated or aggregated values like averages, maximum, or minimum values and then compare them with other column values in the outer query.

A Single Row Subquery is a subquery that returns only one row but may contain one or more columns. Since it returns a single row, it works with comparison operators such as =, >, <, >=, <=, or <>. These subqueries are typically used when the result of the inner query is guaranteed to produce only one row, often through aggregate functions or conditions that limit the result. Understanding the difference between scalar and single row subqueries helps in writing precise and efficient SQL queries when dealing with dependent data retrieval scenarios.",8 Hours,,Students will understand how Case-2 subqueries work across multiple tables and differentiate between scalar and single row subqueries for accurate SQL query design.,SQL
31,10/03/2026,"In this session, students were introduced to multi-row subqueries, nested subqueries, and inline subqueries in MySQL. The session began with multi-row subqueries, which are used when the inner query returns more than one value. To handle multiple results, operators such as IN, ANY, and ALL are used. The IN operator is applied when we want to match a value with any value returned by the inner query. The ANY operator compares a value with any value returned by the subquery and returns true if the condition satisfies at least one value. The ALL operator ensures that the condition is satisfied for all values returned by the inner query. Through practical examples, students learned how these operators help in filtering data effectively when dealing with multiple results from a subquery.

The session then progressed to nested subqueries, where one subquery is written inside another subquery. In such cases, the innermost query executes first, and its output becomes the input for the outer query step by step. Nested subqueries are particularly useful when solving complex data retrieval problems that require multiple levels of filtering.

Finally, the concept of inline subqueries (derived tables) was discussed. Inline subqueries are written inside the FROM clause and are treated as temporary tables for the outer query. This technique allows us to perform intermediate calculations or filtering before applying further conditions. Students practiced writing queries that retrieve records, apply sorting, and fetch specific rows using inline subqueries. Overall, the session focused on improving students’ ability to write structured and optimized SQL queries for handling complex data retrieval scenarios.",8 Hours,,"Students will be able to write and apply multi-row, nested, and inline subqueries using IN, ANY, and ALL operators to solve complex SQL data retrieval problems.",SQL
32,11/03/2026,"In SQL, Joins are used to combine data from two or more tables based on a related column between them. Since relational databases store data in multiple tables, joins help retrieve meaningful and connected information. There are several types of joins used in SQL such as Cross Join, Inner Join, and Outer Join. A Cross Join (also known as a Cartesian Join) returns all possible combinations of rows from the participating tables. It does not require any condition and produces a result set where each row from the first table is combined with every row from the second table. An Inner Join (also called an Equi Join) returns only the records that have matching values in both tables based on a common column. It is one of the most frequently used joins in SQL when we need only related data from multiple tables. Outer Join is used when we need both matching and non-matching records from tables. Outer joins are further classified into Left Outer Join, Right Outer Join, and Full Outer Join. A Left Join returns all records from the left table along with the matching records from the right table, and if no match is found, NULL values are returned for the right table columns. A Right Join works in the opposite way by returning all records from the right table and the matching records from the left table. A Full Outer Join returns all records from both tables, including matching and non-matching rows. In MySQL, since Full Outer Join is not directly supported, it can be implemented using a combination of Left Join and Right Join with the UNION operator. Joins are very important for relational database operations and help in generating meaningful reports by connecting related data across tables.",8 Hours,,Understand the concept of SQL joins and identify different types of joins used to retrieve related data from multiple tables.,SQL
33,12/03/2026,"In SQL, joins are used to combine data from multiple tables based on related columns. Among the important joins are Natural Join, Self Join, and Full Outer Join, which help retrieve meaningful information from relational databases. A Natural Join automatically joins two tables based on columns that have the same name and compatible data types in both tables. It eliminates duplicate columns in the result and simplifies query writing because the join condition does not need to be explicitly specified. However, it must be used carefully since it depends on column names being identical in both tables.

A Self Join is a join where a table is joined with itself. It is mainly used when the data in a single table has a relationship with other rows in the same table. For example, in an employee table where one column represents the employee and another represents the manager, a self join can be used to display employees along with their managers. In this case, aliases are used to treat the same table as two different tables within the query.

A Full Outer Join returns all records from both tables involved in the join. If there is a matching row in both tables, the result shows the combined data. If there is no match, the query still returns the rows from both tables, filling the missing side with NULL values. Since MySQL does not directly support FULL OUTER JOIN, it can be implemented by combining LEFT JOIN and RIGHT JOIN using the UNION operator. These joins are widely used in real-time database operations to analyze relationships and ensure that no relevant data is missed during retrieval.",8 Hours,,"Understand how Natural Join, Self Join, and Full Outer Join combine related data from tables and how they are applied to solve real-world relational database problems.",SQL
34,13/032026,"In database design, understanding attributes and keys is essential before learning normalization. Attributes represent the properties or columns of an entity in a table. Different types of attributes include single valued attributes, which store one value for each record such as StudentID; multivalued attributes, which can store multiple values like phone numbers; simple or atomic attributes that cannot be divided further; composite attributes that can be split into smaller parts such as Address into City and State; derived attributes whose values are calculated from other attributes like Age from Date of Birth; and stored attributes whose values are directly stored in the database. In addition, attributes are classified as key attributes and non-key attributes. Key attributes are used to uniquely identify records in a table. Various types of keys include super key, candidate key, primary key, alternate key, composite key, and foreign key. A super key uniquely identifies a record, while a candidate key is a minimal super key. One candidate key is selected as the primary key and the remaining become alternate keys. A composite key is formed using more than one attribute, and a foreign key establishes relationships between tables.

Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity. When tables are not properly structured, anomalies may occur such as insertion anomaly, deletion anomaly, and update anomaly. These anomalies lead to inconsistent or duplicate data. To avoid these problems, normalization uses concepts such as functional dependency, determinant, partial dependency, full dependency, and transitive dependency. A functional dependency occurs when one attribute determines another attribute, where the determining attribute is called the determinant. Partial dependency occurs when a non-key attribute depends on part of a composite key, while full dependency occurs when it depends on the entire key. Transitive dependency occurs when a non-key attribute depends on another non-key attribute. These concepts help in transforming tables into well-structured forms such as First Normal Form, Second Normal Form, and Third Normal Form.",8 Hours,,"Understand different types of attributes, keys, normalization concepts, anomalies, and dependencies used to design efficient and well-structured relational databases.",SQL
35,14/03/2025,"MySQL provides several important concepts that help in organizing data efficiently and improving query performance. One of the fundamental concepts in database design is Normalization, which is the process of structuring tables to reduce data redundancy and maintain data integrity. Normalization divides large tables into smaller related tables and establishes relationships among them. The common types of normalization include First Normal Form (1NF), which removes repeating groups and ensures that each column contains atomic values; Second Normal Form (2NF), which removes partial dependency by ensuring that non-key attributes depend on the entire primary key; and Third Normal Form (3NF), which removes transitive dependency so that non-key attributes depend only on the primary key. By applying normalization, databases become easier to maintain and anomalies such as insertion, update, and deletion problems can be avoided.

Another important feature in MySQL is Indexes, which are special lookup tables used to improve the speed of data retrieval operations. An index works similar to the index of a book, allowing the database to quickly locate specific records without scanning the entire table. Indexes can be created on one or more columns and are especially useful for frequently searched fields.

Views are virtual tables created from the result of a query. They do not store data physically but display data from one or more underlying tables. Views help simplify complex queries, enhance security by restricting access to certain columns, and provide a logical abstraction of data.

A Correlated Subquery is a type of subquery where the inner query depends on values from the outer query. Unlike a normal subquery that runs once, a correlated subquery executes repeatedly for each row processed by the outer query. This type of query is useful for comparing rows within the same table or across related tables to solve complex data retrieval problems.",8 Hours,,"Understand normalization types, indexes, views, and correlated subqueries in MySQL to design efficient databases and perform optimized data retrieval operations.",SQL
